MarcaTiempo,TiempoRespuesta,TipoSolicitud,CodigoHTTP,MensajeRespuesta,CasoPrueba,TipoContenido,Exito,Bytes,Hilos,Muestras,Latencia
1733108984477,2380,HTTP Request,200,OK,Caso4 1-292,text,true,507,155,155,2380
1733108983718,3140,HTTP Request,200,OK,Caso4 1-235,text,true,507,155,155,3140
1733108985040,1823,HTTP Request,200,OK,Caso4 1-336,text,true,549,152,152,1823
1733108984338,2537,HTTP Request,200,OK,Caso4 1-281,text,true,507,151,151,2537
1733108983795,3080,HTTP Request,200,OK,Caso4 1-241,text,true,507,151,151,3080
1733108984502,2379,HTTP Request,200,OK,Caso4 1-294,text,true,507,149,149,2379
1733108984426,2464,HTTP Request,200,OK,Caso4 1-288,text,true,507,148,148,2464
1733108984363,2643,HTTP Request,200,OK,Caso4 1-283,text,true,535,147,147,2643
1733108983928,3092,HTTP Request,200,OK,Caso4 1-251,text,true,521,146,146,3092
1733108985682,1373,HTTP Request,200,OK,Caso4 1-386,text,true,549,145,145,1373
1733108983526,3529,HTTP Request,200,OK,Caso4 1-220,text,true,549,145,145,3529
1733108983171,3885,HTTP Request,200,OK,Caso4 1-194,text,true,535,144,144,3885
1733108983983,3081,HTTP Request,200,OK,Caso4 1-255,text,true,549,142,142,3081
1733108984541,2526,HTTP Request,200,OK,Caso4 1-297,text,true,507,141,141,2526
1733108983475,3593,HTTP Request,200,OK,Caso4 1-216,text,true,521,140,140,3593
1733108983686,3383,HTTP Request,200,OK,Caso4 1-231,text,true,549,139,139,3383
1733108984592,2489,HTTP Request,200,OK,Caso4 1-301,text,true,521,138,138,2489
1733108983449,3633,HTTP Request,200,OK,Caso4 1-214,text,true,507,138,138,3632
1733108984248,2847,HTTP Request,200,OK,Caso4 1-274,text,true,507,136,136,2847
1733108984630,2466,HTTP Request,200,OK,Caso4 1-304,text,true,549,136,136,2466
1733108984528,2573,HTTP Request,200,OK,Caso4 1-296,text,true,535,134,134,2573
1733108983590,3557,HTTP Request,200,OK,Caso4 1-225,text,true,535,133,133,3556
1733108984656,2492,HTTP Request,200,OK,Caso4 1-306,text,true,521,132,132,2492
1733108984119,3038,HTTP Request,200,OK,Caso4 1-264,text,true,507,131,131,3038
1733108985181,1977,HTTP Request,200,OK,Caso4 1-347,text,true,535,130,130,1977
1733108983888,3271,HTTP Request,200,OK,Caso4 1-248,text,true,521,129,129,3271
1733108984064,3096,HTTP Request,200,OK,Caso4 1-257,text,true,521,128,128,3096
1733108984774,2386,HTTP Request,200,OK,Caso4 1-315,text,true,521,127,127,2386
1733108984760,2401,HTTP Request,200,OK,Caso4 1-314,text,true,549,126,126,2401
1733108983514,3648,HTTP Request,200,OK,Caso4 1-219,text,true,521,125,125,3648
1733108983835,3330,HTTP Request,200,OK,Caso4 1-244,text,true,521,124,124,3330
